recipe,meal_name,total_cost,cost_per_person,servings,ingredients_used,data_source,ingredients
Pork Inihaw,Pork Inihaw,434.62,72.44,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, soy_sauce, garlic, onion, lemon, oil"
Pork Mechado,Pork Mechado,434.81,72.47,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, onion, garlic, potato, tomato, oil"
Afritada,Afritada,449.31,74.89,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, tomato, potato, onion, garlic, oil"
Pork Estofado,Pork Estofado,458.06,76.34,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, onion, tomato, garlic, potato, oil"
Sinigang,Sinigang,458.19,76.36,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, radish, onion, garlic, ginger, oil"
Beef Caldereta,Beef Caldereta,463.06,77.18,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, tomato, garlic, potato, chili, oil"
Pork Embutido,Pork Embutido,470.71,78.45,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, egg, garlic, onion, breadcrumbs, oil"
Pesang Isda,Pesang Isda,472.44,78.74,6,7,DA Official Prices 2026 + Realism Adjustment,"fish, ginger, onion, tomato, radish, oil, patis"
Leche Flan,Leche Flan,485.0,80.83,6,3,DA Official Prices 2026 + Realism Adjustment,"egg, sugar, milk"
Ginataang Hipon,Ginataang Hipon,501.44,83.57,6,6,DA Official Prices 2026 + Realism Adjustment,"shrimp, coconut_milk, onion, garlic, ginger, oil"
Bulalo,Bulalo,508.19,84.7,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, potato, onion, ginger, salt, oil"
Lechon Kawali,Lechon Kawali,508.5,84.75,6,4,DA Official Prices 2026 + Realism Adjustment,"pork, salt, garlic, oil"
Beef Adobo,Beef Adobo,515.62,85.94,6,8,DA Official Prices 2026 + Realism Adjustment,"beef, vinegar, soy_sauce, garlic, onion, bay_leaves, oil, patis"
Inihaw na Isda,Inihaw na Isda,518.88,86.48,6,6,DA Official Prices 2026 + Realism Adjustment,"fish, garlic, onion, lemon, salt, oil"
Beef Bulalo,Beef Bulalo,521.94,86.99,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, ginger, garlic, potato, salt, oil"
Beef Nilaga,Beef Nilaga,531.69,88.61,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, potato, cabbage, salt, oil"
Beef Guisado,Beef Guisado,548.31,91.39,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, tomato, garlic, potato, oil, patis"
Beef Mechado,Beef Mechado,557.31,92.89,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, garlic, potato, tomato, chili, oil"
Beef Morcon,Beef Morcon,625.25,104.21,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, egg, carrot, garlic, onion, breadcrumbs, oil"
Beef Embutido,Beef Embutido,635.71,105.95,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, egg, garlic, onion, breadcrumbs, oil"
